date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:35:49	4452/4452	---M--	200	added ('OK')	text/html	etag:W/%224452-1670476799028%22	http://68.178.167.68:8080/res/emb_c_tut/c01_p01.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/c01_p01.html	(from )
10:35:50	247/247	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Feb%202025%2005:05:49%20GMT	http://68.178.167.68:8080/robots.txt		(from )
10:36:12	1200/1200	---M--	200	added ('OK')	text/html	etag:W/%221200-1670476799051%22	http://68.178.167.68:8080/res/emb_c_tut/index.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/index.html	(from http://68.178.167.68:8080/res/emb_c_tut/c01_p01.html)
10:36:13	3016/3016	---M--	200	added ('OK')	text/html	etag:W/%223016-1670476799028%22	http://68.178.167.68:8080/res/emb_c_tut/c01_p02.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/c01_p02.html	(from http://68.178.167.68:8080/res/emb_c_tut/c01_p01.html)
10:36:14	24756/24756	---M--	200	added ('OK')	image/jpeg	etag:W/%2224756-1670476799041%22	http://68.178.167.68:8080/res/emb_c_tut/images/c01_p01_i01_pp_n_cable.jpg	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/images/c01_p01_i01_pp_n_cable.jpg	(from http://68.178.167.68:8080/res/emb_c_tut/c01_p01.html)
10:36:15	5235/5235	---M--	200	added ('OK')	image/gif	etag:W/%225235-1670476799041%22	http://68.178.167.68:8080/res/emb_c_tut/images/c01_p01_i02_pp_cabinate.gif	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/images/c01_p01_i02_pp_cabinate.gif	(from http://68.178.167.68:8080/res/emb_c_tut/c01_p01.html)
10:36:38	35918/35918	---M--	200	added ('OK')	image/png	etag:W/%2235918-1670476799041%22	http://68.178.167.68:8080/res/emb_c_tut/images/c01_p01_i04_pp_simple.png	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/images/c01_p01_i04_pp_simple.png	(from http://68.178.167.68:8080/res/emb_c_tut/c01_p01.html)
10:36:58	2558/2558	---M--	200	added ('OK')	text/html	etag:W/%222558-1670476799032%22	http://68.178.167.68:8080/res/emb_c_tut/c03_p01.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/c03_p01.html	(from http://68.178.167.68:8080/res/emb_c_tut/index.html)
10:37:22	3015/3015	---M--	200	added ('OK')	text/css	etag:W/%223015-1670476799051%22	http://68.178.167.68:8080/res/emb_c_tut/styl_povpd.css	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/styl_povpd.css	(from http://68.178.167.68:8080/res/emb_c_tut/c01_p01.html)
10:37:22	15323/15323	---M--	200	added ('OK')	image/png	etag:W/%2215323-1670476799042%22	http://68.178.167.68:8080/res/emb_c_tut/images/c01_p02_i02_outportb.png	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/images/c01_p02_i02_outportb.png	(from http://68.178.167.68:8080/res/emb_c_tut/c01_p02.html)
10:37:22	42429/42429	---M--	200	added ('OK')	image/png	etag:W/%2242429-1670476799042%22	http://68.178.167.68:8080/res/emb_c_tut/images/c01_p02_i01_pport_n_leds.png	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/images/c01_p02_i01_pport_n_leds.png	(from http://68.178.167.68:8080/res/emb_c_tut/c01_p02.html)
10:37:23	2475/2475	---M--	200	added ('OK')	text/html	etag:W/%222475-1670476799030%22	http://68.178.167.68:8080/res/emb_c_tut/c02_p01.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/c02_p01.html	(from http://68.178.167.68:8080/res/emb_c_tut/index.html)
10:37:24	1900/1900	---M--	200	added ('OK')	text/html	etag:W/%221900-1670476799032%22	http://68.178.167.68:8080/res/emb_c_tut/c02_p11.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/c02_p11.html	(from http://68.178.167.68:8080/res/emb_c_tut/c03_p01.html)
10:37:24	1941/1941	---M--	200	added ('OK')	text/html	etag:W/%221941-1670476799033%22	http://68.178.167.68:8080/res/emb_c_tut/c03_p02.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/c03_p02.html	(from http://68.178.167.68:8080/res/emb_c_tut/c03_p01.html)
10:37:25	22222/22222	---M--	200	added ('OK')	image/png	etag:W/%2222222-1670476799049%22	http://68.178.167.68:8080/res/emb_c_tut/images/c03_p01_i01_code_showbits.png	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/images/c03_p01_i01_code_showbits.png	(from http://68.178.167.68:8080/res/emb_c_tut/c03_p01.html)
10:37:26	2796/2796	---M--	200	added ('OK')	text/html	etag:W/%222796-1670476799028%22	http://68.178.167.68:8080/res/emb_c_tut/c01_p03.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/c01_p03.html	(from http://68.178.167.68:8080/res/emb_c_tut/c01_p02.html)
10:37:39	54140/54140	---M--	200	added ('OK')	image/png	etag:W/%2254140-1670476799041%22	http://68.178.167.68:8080/res/emb_c_tut/images/c01_p01_i03_pp_pin_desc.png	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/images/c01_p01_i03_pp_pin_desc.png	(from http://68.178.167.68:8080/res/emb_c_tut/c01_p01.html)
10:37:39	1681/1681	---M--	200	added ('OK')	text/html	etag:W/%221681-1670476799030%22	http://68.178.167.68:8080/res/emb_c_tut/c01_p12.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/c01_p12.html	(from http://68.178.167.68:8080/res/emb_c_tut/c02_p01.html)
10:37:40	1755/1755	---M--	200	added ('OK')	text/html	etag:W/%221755-1670476799030%22	http://68.178.167.68:8080/res/emb_c_tut/c02_p02.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/c02_p02.html	(from http://68.178.167.68:8080/res/emb_c_tut/c02_p01.html)
10:37:48	190679/190679	---M--	200	added ('OK')	image/gif	etag:W/%22190679-1670476799045%22	http://68.178.167.68:8080/res/emb_c_tut/images/c02_p01_i01_wo_anim.gif	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/images/c02_p01_i01_wo_anim.gif	(from http://68.178.167.68:8080/res/emb_c_tut/c02_p01.html)
10:38:39	30969/30969	---M--	200	added ('OK')	image/png	etag:W/%2230969-1670476799048%22	http://68.178.167.68:8080/res/emb_c_tut/images/c02_p11_i01_code_eight_quest_shift.png	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/images/c02_p11_i01_code_eight_quest_shift.png	(from http://68.178.167.68:8080/res/emb_c_tut/c02_p11.html)
10:38:40	2001/2001	---M--	200	added ('OK')	text/html	etag:W/%222001-1670476799033%22	http://68.178.167.68:8080/res/emb_c_tut/c03_p03.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/c03_p03.html	(from http://68.178.167.68:8080/res/emb_c_tut/c03_p02.html)
10:38:41	39141/39141	---M--	200	added ('OK')	image/png	etag:W/%2239141-1670476799049%22	http://68.178.167.68:8080/res/emb_c_tut/images/c03_p02_i01_code_getbit.png	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/images/c03_p02_i01_code_getbit.png	(from http://68.178.167.68:8080/res/emb_c_tut/c03_p02.html)
10:39:04	47945/47945	---M--	200	added ('OK')	image/gif	etag:W/%2247945-1670476799042%22	http://68.178.167.68:8080/res/emb_c_tut/images/c01_p03_i01_bink_all.gif	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/images/c01_p03_i01_bink_all.gif	(from http://68.178.167.68:8080/res/emb_c_tut/c01_p03.html)
10:39:24	1809/1809	---M--	200	added ('OK')	text/html	etag:W/%221809-1670476799030%22	http://68.178.167.68:8080/res/emb_c_tut/c01_p11.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/c01_p11.html	(from http://68.178.167.68:8080/res/emb_c_tut/c01_p12.html)
10:39:26	31948/31948	---M--	200	added ('OK')	image/png	etag:W/%2231948-1670476799045%22	http://68.178.167.68:8080/res/emb_c_tut/images/c01_p12_i01_byte_intepret.png	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/images/c01_p12_i01_byte_intepret.png	(from http://68.178.167.68:8080/res/emb_c_tut/c01_p12.html)
10:39:47	27445/27445	---M--	200	added ('OK')	image/png	etag:W/%2227445-1670476799046%22	http://68.178.167.68:8080/res/emb_c_tut/images/c02_p02_i01_code_wo_02_pow.png	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/images/c02_p02_i01_code_wo_02_pow.png	(from http://68.178.167.68:8080/res/emb_c_tut/c02_p02.html)
10:39:48	1701/1701	---M--	200	added ('OK')	text/html	etag:W/%221701-1670476799032%22	http://68.178.167.68:8080/res/emb_c_tut/c02_p10.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/c02_p10.html	(from http://68.178.167.68:8080/res/emb_c_tut/c02_p11.html)
10:39:48	2016/2016	---M--	200	added ('OK')	text/html	etag:W/%222016-1670476799033%22	http://68.178.167.68:8080/res/emb_c_tut/c03_p04.html	C:/My%20Web%20Sites/robio/68.178.167.68_8080/res/emb_c_tut/c03_p04.html	(from http://68.178.167.68:8080/res/emb_c_tut/c03_p03.html)
